Year,Survival count HT=1,Survival count HT=2,Survival Count HT=3,Survival Count HT=4,Survival Count HT=5
1941,88,187,457,344,361
1942,87,186,447,331,342
1943,86,185,444,321,324
1944,86,184,437,320,308
1945,85,184,432,313,300
1946,85,182,428,300,286
1947,85,182,427,293,272
1948,85,182,425,289,265
1949,85,181,419,280,253
1950,83,181,416,270,238
1951,82,178,411,263,224
1952,82,175,399,259,209
1953,82,172,384,245,192
1954,80,171,380,238,182
1955,80,171,380,238,182
1956,79,168,368,219,166
1957,79,168,364,218,158
1958,78,167,363,217,156
1959,77,165,356,211,148
1960,75,162,348,196,143
1961,74,161,345,190,132
1962,71,158,337,187,125
1963,70,156,321,171,109
1964,70,154,321,170,109
1965,70,153,315,167,107
1966,69,147,296,145,86
1967,69,145,291,138,80
1968,67,141,282,131,71
1969,67,140,277,126,68
1970,67,140,273,120,65
1971,66,140,268,103,54
1972,65,136,255,96,44
1973,64,131,240,86,34
1974,63,129,234,79,32
1975,62,127,227,77,25
1976,62,127,214,74,23
1977,62,115,203,64,20
1978,59,112,189,60,15
1979,59,111,182,57,14
1980,58,103,175,54,11
1981,58,102,163,48,11
1982,57,97,157,46,11
1983,57,94,150,42,9
1984,57,93,144,35,9
1985,57,88,137,33,7
1986,57,87,131,31,6
1987,57,87,127,28,6
1988,57,81,121,26,4
1989,57,78,113,20,4
1990,57,70,98,17,4
1991,56,67,84,16,3
1992,54,59,78,14,1
1993,54,58,70,13,1
1994,54,55,65,11,1
1995,54,48,56,10,1
1996,53,47,51,10,0
1997,53,47,48,8,0
1998,53,44,42,7,0
1999,53,40,31,7,0
2000,53,37,26,6,0
2001,51,31,25,4,0
2002,51,29,24,2,0
2003,50,26,20,1,0
2004,50,25,17,1,0
2005,48,22,16,1,0
2006,47,20,14,1,0
2007,42,17,7,1,0
2008,42,17,5,1,0
2009,41,16,5,0,0
2010,41,16,5,0,0
2011,41,14,4,0,0
2012,33,5,0,0,0
2013,33,4,0,0,0
2014,32,4,0,0,0
2015,31,4,0,0,0
2016,30,4,0,0,0
