SAGUAROID,COVER CLASS,YRFIRSTMEASURED,T&NGERMINATIONYEAR,YRDEAD,NURSE PLANT
232,C2,1973,1961,1976,Acacia (Vachellia) constricta
234,C1,1976,1962,-9999,Parkinsonia microphylla
235,C1,1976,1960,-9999,Parkinsonia microphylla
236,C1,1976,1960,-9999,Parkinsonia microphylla
237,C2,1977,1950,-9999,Ephedra sp.
238,C1,1977,1965,-9999,Parkinsonia microphylla
239,C1,1980,1965,-9999,Parkinsonia microphylla
240,C1,1980,1970,-9999,Parkinsonia microphylla
241,C1,1980,1966,1985,Parkinsonia microphylla
242,C1,1980,1967,1986,Parkinsonia microphylla
243,C3,1981,1968,1995,Isocoma tenuisecta
244,C1,1981,1972,1986,Parkinsonia microphylla
245,C1,1982,1968,-9999,Parkinsonia microphylla
246,C1,1982,1972,-9999,Parkinsonia microphylla
247,C2,1983,1961,-9999,Ephedra sp.
248,C1,1983,1961,-9999,Prosopis velutina
249,C1,1983,1971,-9999,Parkinsonia microphylla
250,C2,1983,1966,-9999,Acacia (Vachellia) constricta
251,C2,1983,1973,-9999,Acacia (Vachellia) constricta
252,C2,1983,1969,-9999,Acacia (Vachellia) constricta
253,C1,1983,1964,-9999,Parkinsonia microphylla
254,C1,1983,1968,-9999,Parkinsonia microphylla
255,C2,1983,1965,1985,Acacia (Vachellia) constricta
256,C1,1983,1966,-9999,Parkinsonia microphylla
257,C1,1983,1967,1985,Parkinsonia microphylla
258,C1,1983,1971,-9999,Parkinsonia microphylla
259,C1,1984,1967,-9999,Parkinsonia microphylla
260,C2,1984,1970,-9999,Acacia (Vachellia) constricta
261,C1,1985,1970,-9999,Parkinsonia microphylla
263,C3,1986,1964,-9999,Isocoma tenuisecta
264,C1,1986,1976,1987,Prosopis velutina
265,C1,1986,1965,-9999,Parkinsonia microphylla
266,C1,1987,1975,-9999,Parkinsonia microphylla
267,C1,1987,1983,1989,Parkinsonia microphylla
268,C1,1987,1983,1990,Parkinsonia microphylla
269,C1,1987,1983,1989,Parkinsonia microphylla
270,C1,1987,1979,1989,Parkinsonia microphylla
271,C1,1987,1981,1991,Parkinsonia microphylla
272,C1,1987,1980,1989,Parkinsonia microphylla
273,C1,1987,1981,1990,Parkinsonia microphylla
274,C1,1987,1980,-9999,Parkinsonia microphylla
275,C1,1987,1983,1988,Parkinsonia microphylla
276,C1,1987,1980,-9999,Parkinsonia microphylla
277,C1,1987,1979,1994,Parkinsonia microphylla
278,C1,1987,1980,-9999,Parkinsonia microphylla
279,C1,1987,1981,-9999,Parkinsonia microphylla
280,C1,1987,1980,-9999,Parkinsonia microphylla
281,C1,1987,1977,1991,Parkinsonia microphylla
282,C1,1987,1971,-9999,Parkinsonia microphylla
283,C1,1987,1969,-9999,Parkinsonia microphylla
284,C2,1987,1959,-9999,Larrea tridentata/Acacia (Vachellia) constricta
285,C2,1988,1969,-9999,Acacia (Vachellia) constricta
286,C2,1988,1961,2010,Larrea tridentata
288,C1,1988,1971,2001,Parkinsonia microphylla
289,C1,1988,1981,1996,Parkinsonia microphylla
291,C3,1989,1974,1990,unknown
292,C1,1989,1979,-9999,Parkinsonia microphylla
293,C1,1990,1986,2002,Parkinsonia microphylla
294,C1,1990,1983,2007,Parkinsonia microphylla
295,C1,1990,1981,-9999,Parkinsonia microphylla
296,C1,1990,1978,1993,Parkinsonia microphylla
297,C1,1990,1978,-9999,Parkinsonia microphylla
298,C1,1990,1981,-9999,Parkinsonia microphylla
299,C1,1990,1983,1992,Parkinsonia microphylla
300,C1,1990,1982,-9999,Parkinsonia microphylla
301,C1,1990,1976,-9999,Parkinsonia microphylla
302,C1,1991,1968,-9999,Parkinsonia microphylla
303,C1,1991,1981,2003,Parkinsonia microphylla
304,C1,1991,1981,2000,Parkinsonia microphylla
305,C2,1991,1981,-9999,Acacia (Vachellia) constricta
306,C2,1991,1968,-9999,Acacia (Vachellia) constricta
307,C1,1991,1979,-9999,Parkinsonia microphylla
308,C1,1991,1977,-9999,Parkinsonia microphylla
309,C1,1992,1980,2004,Parkinsonia microphylla
310,C3,1992,1981,1994,open
311,C3,1992,1985,1993,open
312,C3,1992,1983,1992,open
313,C3,1992,1977,-9999,prickly pear
314,C1,1992,1982,1996,Parkinsonia microphylla
315,C1,1992,1982,-9999,Parkinsonia microphylla
317,C3,1993,1978,1994,open
318,C1,1993,1978,-9999,Prosopis velutina
319,C1,1993,1987,2002,Parkinsonia microphylla
320,C1,1993,1984,-9999,Parkinsonia microphylla
321,C3,1993,1978,2011,Isocoma tenuisecta
322,C3,1993,1979,1996,grass
323,C1,1993,1983,1995,Parkinsonia microphylla
324,C1,1993,1980,-9999,Parkinsonia microphylla
325,C1,1993,1979,-9999,Parkinsonia microphylla
326,C3,1993,1981,-9999,Isocoma tenuisecta
327,C3,1993,1980,1994,grass
328,C3,1993,1978,2005,grass
329,C3,1993,1979,2014,Isocoma tenuisecta
330,C3,1993,1984,1994,Isocoma tenuisecta
331,C2,1993,1974,-9999,Ephedra sp.
332,C1,1993,1979,-9999,Parkinsonia microphylla
333,C3,1994,1982,1996,Isocoma tenuisecta
334,C1,1994,1978,-9999,Parkinsonia microphylla
335,C1,1994,1979,-9999,Parkinsonia microphylla
336,C1,1994,1986,1998,Parkinsonia microphylla
337,C3,1994,1983,2010,Isocoma tenuisecta
338,C1,1994,1983,1997,Parkinsonia microphylla
339,C3,1994,1983,2004,Isocoma tenuisecta
340,C3,1994,1984,1996,Isocoma tenuisecta
341,C3,1994,1985,1999,Isocoma tenuisecta
342,C3,1994,1984,1997,Isocoma tenuisecta
343,C3,1994,1987,1998,Isocoma tenuisecta
344,C3,1994,1984,1997,Isocoma tenuisecta
345,C1,1994,1979,2000,Parkinsonia microphylla
346,C1,1994,1982,1996,Parkinsonia microphylla
347,C1,1994,1985,2007,Parkinsonia microphylla
348,C3,1994,1978,2004,Isocoma tenuisecta
349,C1,1994,1980,1995,Parkinsonia microphylla
350,C2,1994,1975,-9999,Ephedra sp.
351,C3,1994,1979,1995,grass
352,C3,1994,1980,1999,shrub
353,C3,1994,1978,2003,open
354,C1,1995,1983,1996,Parkinsonia microphylla
355,C3,1994,1981,1997,Psilostrophe Cooperi
356,C1,1995,1984,-9999,Parkinsonia microphylla
357,C1,1995,1983,-9999,Parkinsonia microphylla
358,C1,1995,1980,-9999,Parkinsonia microphylla
359,C1,1995,1975,-9999,Parkinsonia microphylla
360,C1,1995,1980,-9999,Parkinsonia microphylla
361,C3,1995,1986,1996,Carnegiea gigantea
362,C1,1995,1976,-9999,Parkinsonia microphylla
363,C1,1995,1977,-9999,Parkinsonia microphylla
364,C3,1995,1977,-9999,open
365,C2,1995,1980,2012,Lycium sp.
366,C1,1995,1977,-9999,Parkinsonia microphylla
367,C3,1995,1972,2000,Isocoma tenuisecta
368,C1,1995,1977,-9999,Prosopis velutina
369,C1,1995,1982,-9999,Parkinsonia microphylla
370,C1,1995,1978,-9999,Prosopis velutina
371,C1,1996,1977,-9999,Prosopis velutina
373,C1,1996,1979,-9999,Parkinsonia microphylla
374,C1,1996,1977,-9999,Prosopis velutina
375,C3,1996,1988,1998,Isocoma tenuisecta
376,C1,1996,1984,-9999,Parkinsonia microphylla
377,C3,1997,1977,-9999,grass
378,C2,1997,1985,2009,Acacia (Senegalia) greggii
379,C1,1997,1987,-9999,Parkinsonia microphylla
380,C1,1997,1981,-9999,Prosopis velutina
381,C2,1997,1977,-9999,Larrea tridentata
382,C3,1997,1980,2001,Zinnia acerosa/Psilostrophe Cooperi
383,C2,1997,1980,-9999,Acacia (Vachellia) constricta
384,C1,1997,1982,2000,Prosopis velutina
385,C3,1997,1983,2014,prickly pear
386,C2,1998,1990,-9999,Ephedra sp./Acacia sp.
387,C3,1998,1985,2006,composite
388,C1,1998,1983,2000,Parkinsonia microphylla
389,C1,1998,1987,-9999,Parkinsonia microphylla
390,C2,1998,1982,-9999,Acacia (Vachellia) constricta
391,C1,1998,1977,-9999,Parkinsonia microphylla
392,C2,1998,1984,-9999,Acacia (Senegalia) greggii/Lycium sp.
393,C1,1999,1988,2002,Parkinsonia microphylla
394,C3,2000,1984,-9999,Zinnia acerosa
395,C3,2000,1986,2003,Muhlenbergia Porteri
396,C3,2000,1983,-9999,Opuntia versicolor
397,C1,2000,1980,-9999,Parkinsonia microphylla
398,C1,2000,1986,-9999,Parkinsonia microphylla
399,C1,2000,1983,-9999,Parkinsonia microphylla
400,C1,2000,1989,-9999,Parkinsonia microphylla
401,C1,2000,1977,-9999,Parkinsonia microphylla
402,C3,2001,1983,-9999,Opuntia fulgida and Isocoma tenuisecta
403,C3,2001,1984,2015,Opuntia fulgida and Isocoma tenuisecta
404,C2,2001,1984,2011,Acacia (Vachellia) constricta
405,C2,2002,1980,-9999,Acacia (Senegalia) greggii and grass
406,C2,2002,1984,-9999,Acacia (Vachellia) constricta
407,C1,2003,1985,-9999,Prosopis velutina
408,C2,2003,1988,-9999,Larrea tridentata
409,C2,2003,1990,2004,Acacia (Vachellia) constricta
410,C3,2004,1988,2009,"Opuntia versicolor, Psilostrophe Cooperi"
412,C1,2004,1986,2006,Prosopis velutina
414,C3,2005,1988,2009,open
415,C2,2007,1980,-9999,Larrea tridentata/Ephedra sp.
417,C1,2011,1976,-9999,Parkinsonia microphylla
418,C3,2012,1989,-9999,Opuntia versicolor
1166,C1,1982,1946,-9999,Parkinsonia microphylla
1167,C1,1974,1960,1986,Parkinsonia microphylla
1168,C3,1976,1964,1979,Zinnia acerosa
1169,C3,1976,1960,-9999,shrub
1170,C1,1976,1957,1987,Prosopis velutina
1171,C1,1976,1960,1985,Prosopis velutina
1172,C1,1976,1964,1979,Parkinsonia microphylla
1173,C1,1976,1959,-9999,Prosopis velutina
1174,C2,1976,1957,-9999,Acacia (Vachellia) constricta
1175,C1,1976,1962,-9999,Prosopis velutina
1176,C1,1976,1960,-9999,Parkinsonia microphylla
1177,C1,1976,1957,-9999,Parkinsonia microphylla
1178,C1,1978,1964,1985,Prosopis velutina
1179,C1,1978,1964,1981,Parkinsonia microphylla
1180,C2,1978,1958,-9999,Larrea tridentata
1181,C1,1979,1965,-9999,Parkinsonia microphylla
1182,C2,1979,1959,-9999,Larrea tridentata
1183,C1,1979,1965,1982,Prosopis velutina
1184,C1,1980,1964,-9999,Prosopis velutina
1185,C1,1980,1966,-9999,Parkinsonia microphylla
1186,C1,1979,1965,-9999,Parkinsonia microphylla
1187,C2,1980,1958,-9999,Acacia (Vachellia) constricta
1189,C3,1981,1961,1990,Isocoma tenuisecta
1190,C1,1983,1967,-9999,Prosopis velutina
1191,C1,1983,1967,-9999,Parkinsonia microphylla
1192,C1,1983,1964,-9999,Parkinsonia microphylla
1193,C1,1985,1967,-9999,Parkinsonia microphylla
