Name,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Impala,60500.0,,65.0,,69.0
Barbary sheep,49200.0,181.0,65.75,212.5,67.25
Blackbuck,22000.0,137.85,47.4,176.5,47.55
Bison,1179000.0,,191.5,,167.5
European bison,310000.0,350.0,130.0,418.0,122.0
Bos gaurus,545000.0,343.5,154.5,429.0,156.5
Wild goat,29500.0,165.1,58.0,183.65,58.95
West Caucasian Tur,116800.0,240.0,89.0,271.5,88.0
Alpine Ibex,25420.0,156.25,54.1,188.9,52.65
Black Wildebeest,108500.0,209.0,85.5,251.0,87.0
Blue wildebeest,256500.0,,115.0,,100.0
Himalayan Tahr,31100.0,172.5,61.4,184.8,57.8
Scimitar Oryx,117900.0,225.0,95.0,278.0,92.5
Muskox,315000.0,315.5,128.0,350.5,111.0
Domestic sheep,76600.0,158.0,74.5,188.0,79.0
Dall Sheep,76200.0,214.5,82.5,254.0,81.5
Duiker,13860.0,,31.0,,46.0
Nyala,134500.0,,99.0,,97.0
Bushbuck,50900.0,,56.0,,62.0
Kudu,301000.0,,140.0,,135.0
