Name,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Northern collared lemming,103.0,19.85,6.9,23.0,7.15
Ungava Collared Lemming,108.8,20.0,7.1,24.15,8.0
Richardson's Collared Lemming,95.0,19.5,5.8,23.35,5.6
Dusky Rice Rat,64.0,16.95,6.0,23.35,8.2
Hamster,198.0,24.3,8.85,29.0,11.0
Rock Vole,67.0,15.05,4.85,18.35,5.6
Meadow Vole,70.0,14.6,4.5,18.1,5.7
Water Vole,61.0,16.2,5.2,18.95,6.75
South American Water Rat,235.0,24.45,7.6,37.5,11.8
White-Throated Woodrat,188.1,27.5,8.45,35.4,11.05
Tomes's rice rat,106.0,22.5,6.0,30.35,8.0
Coues' Rice Rat,102.0,19.4,7.05,28.7,9.85
Large-headed Rice Rat,86.0,19.65,5.75,29.15,7.5
Chiapan Deer Mouse,78.0,19.95,5.55,27.5,7.0
White-footed Climbing Mouse,110.0,22.85,7.9,32.0,10.0
Hispid cotton rat,163.0,22.95,6.75,33.6,10.0
