Name,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Cheetah,60400.0,243.5,62.5,268.5,67.5
Domestic cat,8400.0,104.0,28.5,119.5,30.0
Ocelot,13900.0,144.5,40.5,165.0,42.0
Canadian Lynx,17710.0,178.75,38.75,215.55,40.85
Eurasian lynx,9700.0,170.5,38.0,202.5,39.0
Bobcat,8800.0,151.25,36.5,175.95,38.25
Cloud lepard,13478.0,,44.7,,41.4
Lion,203000.0,366.0,116.0,401.0,109.0
Jaguar,71000.0,239.0,76.0,265.5,72.5
Leopard,61000.0,200.0,62.0,231.0,61.0
Siberian tiger,230000.0,350.0,113.0,411.0,102.5
Bengal tiger,145000.0,310.0,94.0,360.5,90.5
Snow Leopard,43100.0,208.5,63.5,234.5,63.0
Cougar,47000.0,231.5,65.5,276.5,62.5
