Name,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Hog Badger,5900.0,96.56,32.1,109.04,29.3
Wolverine,16556.0,136.25,39.75,141.5,35.0
Otter,6400.0,74.66,26.1,73.69,24.4
Fisher,6160.0,96.4,22.25,102.45,24.5
Striped Skunk,6500.0,62.15,24.05,71.25,22.05
Stoat,145.0,29.2,7.0,30.6,7.7
Long-tailed weasel,260.0,34.98,9.55,38.48,10.2
Black-footed ferret,694.0,48.8,12.15,49.9,13.05
European Polecat,1100.0,47.3,12.95,51.97,12.5
American Mink,1135.0,47.76,14.65,50.87,14.7
American Badger,9900.0,103.1,33.0,100.8,27.75
