Name,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Indian elephant,3534000.0,830.0,310.0,980.0,315.0
African elephant,6435000.0,1035.0,416.3,1147.5,399.0
Four-toed Elephant Shrew,275.0,33.7,9.5,47.3,12.5
Checkered Elephant Shrew,445.0,,9.5,55.45,13.75
Yellow-spotted Rock Hyrax,3650.0,78.2,21.75,79.5,24.25
Arctic Fox,3710.0,112.15,23.0,114.68,24.85
Coyote,13608.0,166.2,41.0,178.35,40.6
Wolf,32000.0,211.0,53.25,226.5,51.75
Dhole,15400.0,158.3,42.35,173.75,44.15
Racoon Dog,3500.0,84.3,25.25,89.74,25.75
Gray fox,4800.0,102.74,24.1,115.0,27.15
Swift Fox,2300.0,99.88,21.55,99.17,23.3
Red Fox,6000.0,125.1,26.25,127.62,26.95
Fennec Fox,1000.0,68.2,16.25,70.4,16.25
Cheetah,60400.0,243.5,62.5,268.5,67.5
Domestic cat,8400.0,104.0,28.5,119.5,30.0
Ocelot,13900.0,144.5,40.5,165.0,42.0
Canadian Lynx,17710.0,178.75,38.75,215.55,40.85
Eurasian lynx,9700.0,170.5,38.0,202.5,39.0
Bobcat,8800.0,151.25,36.5,175.95,38.25
Cloud lepard,13478.0,,44.7,,41.4
Lion,203000.0,366.0,116.0,401.0,109.0
Jaguar,71000.0,239.0,76.0,265.5,72.5
Leopard,61000.0,200.0,62.0,231.0,61.0
Siberian tiger,230000.0,350.0,113.0,411.0,102.5
Bengal tiger,145000.0,310.0,94.0,360.5,90.5
Snow Leopard,43100.0,208.5,63.5,234.5,63.0
Cougar,47000.0,231.5,65.5,276.5,62.5
Common Kusimanse,1190.0,48.86,14.9,54.76,15.5
Slender Mongoose,1100.0,45.5,14.0,51.25,14.5
Common Dwarf Mongoose,450.0,34.6,11.0,36.0,12.0
Small Asian Mongoose,384.0,42.2,11.6,46.84,12.5
White-tailed Mongoose,4760.0,93.3,23.1,108.72,27.05
Liberian Mongoose,2430.0,68.0,20.5,76.1,22.25
Meerkat,717.0,50.74,13.2,55.83,13.65
Hog Badger,5900.0,96.56,32.1,109.04,29.3
Wolverine,16556.0,136.25,39.75,141.5,35.0
Otter,6400.0,74.66,26.1,73.69,24.4
Fisher,6160.0,96.4,22.25,102.45,24.5
Striped Skunk,6500.0,62.15,24.05,71.25,22.05
Stoat,145.0,29.2,7.0,30.6,7.7
Long-tailed weasel,260.0,34.98,9.55,38.48,10.2
Black-footed ferret,694.0,48.8,12.15,49.9,13.05
European Polecat,1100.0,47.3,12.95,51.97,12.5
American Mink,1135.0,47.76,14.65,50.87,14.7
American Badger,9900.0,103.1,33.0,100.8,27.75
Brown fur seal,43000.0,141.35,83.95,81.75,48.75
Harp seal,42000.0,128.5,68.85,90.55,70.0
Racoon,7000.0,114.7,31.05,132.75,33.25
Black bear,204000.0,296.0,101.5,302.0,96.5
Grizzly bear,435500.0,400.5,146.25,445.5,126.25
Polar bear,447695.0,,158.0,,135.0
Lesser oriental civet,2600.0,78.3,21.2,92.95,24.1
Three-striped Night Monkey,1050.0,68.465,15.0,91.14,16.85
Common Marmoset,270.0,45.04,11.05,56.175,11.85
Pygmy Marmoset,178.0,35.77,8.75,40.615,8.85
Tamarin,422.0,52.625,12.2,66.32,13.35
De Brazza's Monkey,11450.0,149.43,36.95,184.4,39.05
