Name,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Leopard,61000.0,200.0,62.0,231.0,61.0
Southern Tamandua,5470.0,90.7,34.6,91.2,29.8
Black Wildebeest,108500.0,209.0,85.5,251.0,87.0
Arctic Hare,4500.0,109.15,22.0,129.2,30.0
Snowshoe Hare,1294.0,75.7,14.5,98.25,19.65
Black tree monitor,133.0,34.3,7.25,36.6,8.6
Jaguar,71000.0,239.0,76.0,265.5,72.5
Père David's Deer,158800.0,271.5,112.5,340.5,112.0
Grizzly bear,435500.0,400.5,146.25,445.5,126.25
Siberian tiger,230000.0,350.0,113.0,411.0,102.5
Eastern gray squirrel,765.0,44.7,13.1,57.4,14.6
Australian Green Tree Frog,51.0,18.5,6.0,30.0,5.0
Hippo,1264000.0,422.5,182.5,467.0,188.5
Giant Armadillo,29500.0,125.05,68.25,167.7,78.5
Burchell's zebra,272400.0,259.0,118.0,363.5,137.5
Australian water dragon,440.0,39.7,9.1,55.3,10.9
Fire-footed Rope Squirrel,190.0,31.8,9.1,41.55,10.25
White-tailed Mongoose,4760.0,93.3,23.1,108.72,27.05
Solomon Islands skink,374.0,36.05,10.15,36.5,10.95
White-tailed Jackrabbit,4300.0,102.6,20.75,125.85,28.25
