Name,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
White-tailed prairie dog,1130.0,40.0,13.5,48.25,13.5
Fire-footed Rope Squirrel,190.0,31.8,9.1,41.55,10.25
Hoary marmot,6250.0,90.05,28.4,99.2,25.1
Groundhog,3012.0,68.95,24.15,80.85,22.0
Eastern gray squirrel,765.0,44.7,13.1,57.4,14.6
Fox squirrel,1109.0,57.8,16.85,72.75,18.25
Lesser tropical ground squirrel,345.0,30.3,8.9,37.1,10.05
Franklin's ground squirrel,475.0,34.0,11.9,43.9,12.0
Golden-mantel squirrel,159.0,26.0,7.3,35.2,8.7
Richardson's ground squirrel,345.0,31.95,10.1,38.75,10.9
Thirteen-lined ground squirrel,195.0,26.65,9.7,34.1,8.8
Yellow-pine chipmunk,52.9,18.25,5.25,24.7,6.0
Least chipmunk,60.5,18.1,5.6,24.05,5.95
American Red Squirrel,260.0,31.4,10.0,40.2,9.95
