Cannabinoid,1,2,3,5,8
8-THC,,,,,
9-THC,3.2475000000000005,2.66,0.0,0.4075,0.0
THCA,61.184999999999995,25.9875,7.574999999999999,5.237500000000001,0.485
THCP,,,,,
THCV,,,,,
THC-11-OH,,,,,
THC-acid,,,,,
THC-acid-glu,0.485,0.0,3.495,0.645,2.275
THC-glu,11.195,3.9850000000000003,1.1625,0.8575,0.0
CBC,,,,,
CBCA,,,,,
CBD,23.0075,16.42,1.7525,2.3175,0.37
CBDA,37339.8625,4376.99,966.0775,1131.3,11.2825
CBDV,,,,,
CBDVA,12.254999999999999,2.9575,0.0,0.6175,0.0
CBD-7-acid,135.625,225.52749999999997,93.14,128.1575,49.3825
CBG,,,,,
CBGA,,,,,
CBL,,,,,
CBLA,16.245,2.3425,1.275,0.325,0.0
CBN,,,,,
