Tissue,Time (d),8-THC,9-THC,THCA,THC-acid,THC-acid-glu,THC-glu,CBD,CBDA,CBDVA,CBD-7-acid,CBLA
Muscle,1,0.0,0.0,0.0,1.4849999999999999,0.0,0.0,1.415,18.7925,0.0,14.495000000000001,0.0
Kidney,8,0.0,1.69,0.0,0.0,0.0,0.0,3.1449999999999996,0.4125,0.0,0.0,0.0
Liver,8,0.0,0.0,0.485,0.0,2.275,0.0,0.37,11.2825,0.0,49.3825,0.0
Kidney,3,1.3475000000000001,4.67,1.1099999999999999,20.7325,0.0,0.0,7.96,1.6674999999999998,0.0,0.0,0.0
Liver,3,0.0,0.0,7.575,0.0,3.495,1.1625,1.7525,966.0774999999999,0.0,93.14,1.275
Liver,1,0.0,3.2475,61.185,0.0,0.485,11.195,23.0075,37339.8625,12.254999999999999,135.625,16.245
Kidney,2,3.355,7.0249999999999995,4.385,28.5525,0.0,0.0,11.55,6.295,0.0,0.0,0.0
Muscle,8,0.0,0.0,0.0,0.8875,0.0,0.0,1.75,0.345,0.0,8.82,0.0
Adipose,5,0.0,43.745000000000005,0.0,0.0,0.0,0.0,243.825,0.0,0.0,53.7325,0.0
Adipose,1,0.0,46.7575,0.0,0.0,0.0,0.0,223.3675,33.025,0.0,79.38499999999999,0.0
Muscle,2,0.0,0.0,0.0,3.7175,0.0,0.0,2.1125,7.965,0.0,25.71,0.0
Kidney,1,5.095,7.65,7.8025,20.825,0.0,0.0,9.2675,10.5575,0.0,0.0,0.0
Liver,2,0.0,2.66,25.987499999999997,0.0,0.0,3.9850000000000003,16.42,4376.99,2.9575,225.5275,2.3425
Muscle,5,0.0,0.0,0.0,1.965,0.0,0.0,0.0,0.0,0.0,13.9575,0.0
Adipose,3,0.0,43.792500000000004,0.0,0.0,0.0,0.0,203.66250000000002,0.0,0.0,105.0575,0.0
Adipose,8,0.0,28.060000000000002,0.0,0.0,0.0,0.0,142.86,0.0,0.0,54.652499999999996,0.0
Muscle,3,0.0,0.0,0.0,2.9075,0.0,0.0,1.52,2.9675000000000002,0.0,21.2875,0.0
Adipose,2,0.0,59.08500000000001,0.0,0.0,0.0,0.0,287.0875,11.879999999999999,0.0,115.435,0.0
Liver,5,0.0,0.4075,5.237500000000001,0.0,0.645,0.8575,2.3175,1131.3000000000002,0.6175,128.1575,0.325
Kidney,5,0.0,0.6575,0.0,5.18,0.0,0.0,1.84,0.0,0.0,0.0,0.0
