plant no. ,conspecific pollen,germination rate,pollen load purity,contamination,seeds per flower
1,56.99948004,0.76923,0.79167,0.20833,4.181835413
2,14.00031889,0.77622,0.85,0.15,4.500004889
3,72.999936,0.78095,0.93827,0.06173,6.312517912
4,40.00056516,0.88696,0.81333,0.18667,6.444428889
5,NA,0.60169,NA,NA,2.444443423
6,36,0.71622,0.89474,0.10526,10.50001848
7,24.000201,0.34858,0.49438,0.50562,4.16665584
8,37.99982736,0.62241,0.69919,0.30081,2.33333209
9,21.99985216,0.36184,0.42727,0.57273,4.571419632
10,10.99983556,0.86992,0.60317,0.39683,5.928577602
11,27.00049444,0.73267,0.8,0.2,6.222230448
12,10.99983556,0.22293,0.40964,0.59036,6.56252225
13,32.00051761,0.32692,0.6,0.4,4.307706064
14,21.99985216,0.24138,0.71053,0.28947,3.857147896
15,4,0.53659,0.66667,0.33333,3.5000037
16,234.0012684,0.87712,0.90083,0.09917,4.722237076
17,319.0010324,0.75591,0.85745,0.14255,5.750002303
18,179.999789,0.94198,0.9196,0.0804,10.50001848
19,131.9994188,0.7594,0.75185,0.24815,7.384617168
20,NA,0.76289,NA,NA,2.999989924
21,101.9999003,0.64,0.81159,0.18841,7.2999996
22,NA,0.86782,NA,NA,2.266660212
23,226.9994223,0.97742,0.94628,0.05372,6.000009045
24,73.99956529,1,0.88571,0.11429,2
25,115.9993621,1,0.82781,0.17219,9.750000642
26,145.998889,0.6787,0.95028,0.04972,4.250015728
27,7.99984656,0,0.58228,0.41772,3.111121821
28,5.00014321,0.89883,0.59091,0.40909,5.624994336
29,6.00005025,0.45455,0.25641,0.74359,3.818167988
30,10.00014129,0.20408,0.23077,0.76923,3.999997203
31,NA,0.67568,NA,NA,4.42857069
32,49,0.82895,0.93103,0.06897,5.799998992
33,27.99997225,0.27778,0.81395,0.18605,2.999989924
34,NA,0.07895,NA,NA,5.83331431
35,NA,0.875,NA,NA,3.333347901
36,14.00031889,0.2,0.60345,0.39655,2.599997308
37,39.000025,0.7875,0.45833,0.54167,3.399989656
38,79.00009924,0.19231,0.34783,0.65217,3.428579392
