experiment,tube,treatment,corn_trait,colony,block,rep,larv_surv,hcw1,hcw2,hcw3,hcw4,hcw5,hcw6,Average,HCW_20,total_larva_weighed,larv_dw,weight_per_larvae,root_dw,seed_num
21KYL,5,CC,ISO,SUS,1,1,4,6.5,7,4,6.5,,,6,0.3,4,0.289,0.07225,0.19005,2
21KYL,13,CC,ISO,RES,1,1,5,6,7,7.5,7,6,,6.7,0.335,5,0.855,0.171,0.12659,2
21KYL,29,CC,ISO,SUS,1,2,3,6,5.5,6,,,,5.833,0.292,3,0.271,0.090333333,0.11213,2
21KYL,37,CC,ISO,RES,1,2,0,,,,,,,,,0,,,0.15135,2
21KYL,49,CC,ISO,SUS,1,3,5,7,6,6,6,7,,6.4,0.32,5,0.485,0.097,0.23612,2
21KYL,57,CC,ISO,RES,1,3,1,6.5,,,,,,6.5,0.325,1,0.116,0.116,0.29265,2
21KYL,77,CC,BT,SUS,1,1,1,3.5,,,,,,3.5,0.175,1,0.023,0.023,0.15644,2
21KYL,81,CC,BT,RES,1,1,4,6.5,7,8,6,,,6.875,0.34375,4,0.691,0.17275,0.27986,2
21KYL,97,CC,BT,SUS,1,2,1,4,,,,,,4,0.2,1,0.007,0.007,0.1829,2
21KYL,105,CC,BT,RES,1,2,2,6.5,6,,,,,6.25,0.3125,2,0.186,0.093,0.24814,2
21KYL,121,CC,BT,SUS,1,3,0,,,,,,,,,0,,,0.26937,2
21KYL,129,CC,BT,RES,1,3,2,6,4,,,,,5,0.25,2,0.152,0.076,0.20879,2
21KYL,145,TR,ISO,SUS,1,1,0,,,,,,,,,0,,,0.19193,2
21KYL,153,TR,ISO,RES,1,1,3,8,6.5,6,,,,6.833,0.342,3,0.394,0.131333333,0.31539,2
21KYL,169,TR,ISO,SUS,1,2,2,6.5,4,,,,,5.25,0.2625,2,0.158,0.079,0.18766,2
21KYL,177,TR,ISO,RES,1,2,5,6,5.5,6,7,6,,6.1,0.305,5,0.515,0.103,0.20309,2
21KYL,197,TR,ISO,SUS,1,3,5,6.5,6,7,5.5,4,,5.8,0.29,5,0.461,0.0922,0.21658,2
21KYL,201,TR,ISO,RES,1,3,4,6,6,7,6.5,,,6.375,0.31875,4,0.838,0.2095,0.19652,2
21KYL,221,TR,BT,SUS,1,1,0,,,,,,,,,0,,,0.20218,2
21KYL,229,TR,BT,RES,1,1,3,6,4.5,6,,,,5.5,0.275,3,0.355,0.118333333,0.11701,2
21KYL,241,TR,BT,SUS,1,2,1,3,,,,,,3,0.15,1,0.016,0.016,0.17488,2
