Year,Date,Order,Family,Rep,# of Weevils Remaining ,Avg Weevils Consumed,Comments,Evaluator,NCE,Individual,,
2022,9/9/2022,Orthoptera,Acrididae,3,10,0,NCE,RM,1,1,,
2022,9/22/2022,Orthoptera,Acrididae,2,10,0,NCE,ARG,1,1,,
2022,9/22/2022,Orthoptera,Acrididae,4,9,10,NCE,ARG,1,1,,
2022,9/22/2022,Orthoptera,Acrididae,5,2,80,NCE,ARG,1,1,,
2022,10/4/2022,Orthoptera,Acrididae,10,9,10,"NCE, NE dead",IS/RM,1,1,,
2022,10/4/2022,Orthoptera,Acrididae,2,9,10,NCE,IS/RM,1,1,,
2022,10/4/2022,Orthoptera,Acrididae,7,9,10,NCE,IS/RM,1,1,,
2022,10/4/2022,Orthoptera,Acrididae,12,4,60,NCE,IS/RM,1,1,,
2022,9/9/2022,Orthoptera,Acrididae,1,9,10,,RM,0,1,,
2022,9/9/2022,Orthoptera,Acrididae,2,5,50,,RM,0,1,,
2022,9/22/2022,Orthoptera,Acrididae,1,10,0,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Acrididae,3,9,10,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Acrididae,6,10,0,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Acrididae,7,10,0,,ARG,0,1,,
2022,10/4/2022,Orthoptera,Acrididae,8,1,90,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Acrididae,11,8,20,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Acrididae,5,10,0,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Acrididae,9,9,10,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Acrididae,3,10,0,RW feeding,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Acrididae,6,10,0,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Acrididae,1,9,10,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Acrididae,4,10,0,,IS/RM,0,1,,
2022,10/4/2022,Coleoptera,Carabidae,1,9,10,NCE,IS/RM,1,1,,
2022,9/22/2022,Coleoptera,Carabidae,1,0,100,,ARG,0,1,,
2022,9/22/2022,Coleoptera,Carabidae,2,10,0,,ARG,0,1,,
2022,9/9/2022,Neuroptera,Chrysopidae,2,10,0,"larva, NCE",RM,1,1,,
2022,9/9/2022,Neuroptera,Chrysopidae,3,10,0,"larvae, NCE",RM,1,1,,
2022,9/9/2022,Neuroptera,Chrysopidae,4,10,0,"larvae, NCE",RM,1,1,,
2022,10/4/2022,Neuroptera,Chrysopidae,1,10,0,NCE,IS/RM,1,1,,
2022,9/9/2022,Neuroptera,Chrysopidae,1,8,20,NE dead,RM,0,1,,
2022,10/4/2022,Neuroptera,Chrysopidae,2,10,0,,IS/RM,0,1,,
2022,9/9/2022,Hemiptera,Coreidae,5,10,0,NCE,RM,1,1,,
2022,9/9/2022,Hemiptera,Coreidae,1,10,0,,RM,0,1,,
2022,9/9/2022,Hemiptera,Coreidae,2,10,0,NE dead,RM,0,1,,
2022,9/9/2022,Hemiptera,Coreidae,3,8,20,,RM,0,1,,
2022,9/9/2022,Hemiptera,Coreidae,4,10,0,,RM,0,1,,
2022,9/22/2022,Hemiptera,Coreidae,1,10,0,"NE dead, RW feeding",ARG,0,1,,
2022,9/22/2022,Hemiptera,Coreidae,2,10,0,,ARG,0,1,,
2022,9/22/2022,Hemiptera,Coreidae,3,10,0,"nymph, NE dead, NCE",ARG,0,1,,
2022,9/22/2022,Hemiptera,Coreidae,4,10,0,,ARG,0,1,,
2022,9/22/2022,Hemiptera,Coreidae,5,10,0,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Gryllidae,3,2,80,NCE,ARG,1,1,,
2022,9/22/2022,Orthoptera,Gryllidae,5,10,0,NCE,ARG,1,1,,
2022,9/22/2022,Orthoptera,Gryllidae,7,9,10,NCE,ARG,1,1,,
2022,9/22/2022,Orthoptera,Gryllidae,8,10,0,NCE,ARG,1,1,,
2022,9/22/2022,Orthoptera,Gryllidae,10,10,0,NCE,ARG,1,1,,
2022,10/4/2022,Orthoptera,Gryllidae,6,10,0,"NCE, NE dead",IS/RM,1,1,,
2022,9/9/2022,Orthoptera,Gryllidae,1,6,40,,RM,0,1,,
2022,9/22/2022,Orthoptera,Gryllidae,12,0,100,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Gryllidae,13,0,100,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Gryllidae,1,10,0,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Gryllidae,2,10,0,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Gryllidae,4,10,0,NE dead,ARG,0,1,,
2022,9/22/2022,Orthoptera,Gryllidae,6,8,20,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Gryllidae,9,0,100,,ARG,0,1,,
2022,9/22/2022,Orthoptera,Gryllidae,11,0,100,,ARG,0,1,,
2022,10/4/2022,Orthoptera,Gryllidae,8,4,60,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Gryllidae,10,10,0,NE dead,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Gryllidae,1,9,10,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Gryllidae,5,9,10,NE dead,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Gryllidae,4,10,0,NE dead,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Gryllidae,7,7,30,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Gryllidae,2,7,30,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Gryllidae,3,9,10,,IS/RM,0,1,,
2022,10/4/2022,Orthoptera,Gryllidae,9,9,10,,IS/RM,0,1,,
2022,10/4/2022,Hemiptera,Miridae,4,10,0,"NCE, Tarnished plant bug",IS/RM,1,1,,
2022,10/4/2022,Hemiptera,Miridae,1,10,0,Tarnished plant bug,IS/RM,0,1,,
2022,10/4/2022,Hemiptera,Miridae,3,10,0,,IS/RM,0,1,,
2022,10/4/2022,Hemiptera,Reduviidae,1,8,20,"nymph, NCE ",IS/RM,1,1,,
2022,9/9/2022,Hemiptera,Reduviidae,1,9,10,larvae,RM,0,1,,
2022,10/4/2022,Hemiptera,Reduviidae,1,7,30,NE dead,IS/RM,0,1,,
2022,10/4/2022,Araneae,Salticidae,1,10,0,NCE,IS/RM,1,1,,
2022,9/9/2022,Araneae,Salticidae,1,10,0,NE dead,RM,0,1,,
2022,9/9/2022,Araneae,Salticidae,2,7,30,,RM,0,1,,
2022,9/9/2022,Araneae,Salticidae,3,10,0,,RM,0,1,,
2022,9/9/2022,Araneae,Salticidae,4,10,0,,RM,0,1,,
2022,9/9/2022,Araneae,Salticidae,4,7,30,,RM,0,1,,
2022,9/22/2022,Araneae,Salticidae,1,10,0,,ARG,0,1,,
2022,9/9/2022,Araneae,Thomisidae,1,10,0,NCE,RM,1,1,,
2022,9/22/2022,Araneae,Thomisidae,1,10,0,NCE,ARG,1,1,,
2022,10/4/2022,Araneae,Thomisidae,3,10,0,NCE,IS/RM,1,1,,
2022,10/4/2022,Araneae,Thomisidae,2,10,0,,IS/RM,0,1,,
2022,10/4/2022,Araneae,Thomisidae,1,10,0,,IS/RM,0,1,,
2022,9/9/2022,Araneae,Unknown Spider,1,9,10,,RM,0,1,,
2022,9/9/2022,Araneae,Unknown Spider,2,9,10,,RM,0,1,,
2022,9/9/2022,Araneae,Unknown Spider,3,10,0,,RM,0,1,,
2023,31-Aug,Orthoptera,Acrididae,2,10,0,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,1,7,30,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,1,10,0,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,10,8,20,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,2,6,40,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,4,10,0,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,5,10,0,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,8,10,0,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,4,7,30,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,6,10,0,,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,2,10,0,pred dead,JA,0,1,,
2023,31-Aug,Orthoptera,Acrididae,3,10,0,,JA,0,1,,
2023,1-Sep,Orthoptera,Acrididae,12,10,0,pred dead,JA,0,1,,
2023,6-Sep,Orthoptera,Acrididae,7,10,0,,JA,0,1,,
2023,6-Sep,Orthoptera,Acrididae,20,10,0,,JA,0,1,,
2023,6-Sep,Orthoptera,Acrididae,19,10,0,,JA,0,1,,
2023,6-Sep,Orthoptera,Acrididae,14,10,0,,JA,0,1,,
2023,6-Sep,Orthoptera,Acrididae,18,10,0,,JA,0,1,,
2023,6-Sep,Orthoptera,Acrididae,15,10,0,,JA,0,1,,
2023,6-Sep,Orthoptera,Acrididae,21,10,0,,JA,0,1,,
2023,6-Sep,Orthoptera,Acrididae,13,10,0,,JA,0,1,,
2023,6-Sep,Orthoptera,Acrididae,16,10,0,,JA,0,1,,
2023,13-Sep,Orthoptera,Acrididae,26,5,50,large female,JA,0,1,,
2023,13-Sep,Orthoptera,Acrididae,25,10,0,large female,JA,1,1,,
2023,13-Sep,Orthoptera,Acrididae,27,10,0,,JA,0,1,,
2023,13-Sep,Orthoptera,Acrididae,24,9,10,,JA,1,1,,
2023,13-Sep,Orthoptera,Acrididae,23,10,0,,JA,0,1,,
2023,13-Sep,Orthoptera,Acrididae,22,10,0,large female,JA,1,1,,
2023,1-Sep,Araneae,Araneidae,1,8,20,,JA,0,1,,
2023,1-Sep,Araneae,Araneidae,2,9,10,,JA,1,1,,
2023,1-Sep,Araneae,Araneidae,3,3,70,,JA,1,1,,
2023,20-Sep,Arachnida,Araneidae,4,10,0,,JA,0,1,20,29.15475947
2023,20-Sep,Araneae,Araneidae,4,10,0,,JA,0,1,,
2023,31-Aug,Neuroptera,Chrysopidae,1,10,0,,JA,1,1,,
2023,1-Sep,Neuroptera,Chrysopidae,2,8,20,,JA,0,1,,
2023,6-Sep,Neuroptera,Chrysopidae,3,7,30,,JA,0,1,,
2023,6-Sep,Neuroptera,Chrysopidae,4,10,0,,JA,0,1,,
2023,13-Sep,Orthoptera,Gryllidae,1,10,0,,JA,1,1,,
2023,20-Sep,Orthoptera,Gryllidae,2,10,0,pred dead,JA,0,1,,
2023,20-Sep,Orthoptera,Gryllidae,3,10,0,small,JA,0,1,,
2023,20-Sep,Orthoptera,Gryllidae,4,10,0,small,JA,0,1,,
2023,20-Sep,Orthoptera,Gryllidae,5,1,90,large,JA,0,1,,
2023,20-Sep,Orthoptera,Gryllidae,6,1,90,Pred dead,JA,0,1,,
2023,20-Sep,Orthoptera,Gryllidae,7,10,0,,JA,0,1,,
2023,1-Sep,Hemiptera,Reduviidae,1,7,30,,JA,0,1,,
2023,7-Sep,Hemiptera,Reduviidae,2,9,10,,JA,0,1,,
2023,7-Sep,Hemiptera,Reduviidae,3,9,10,,JA,1,1,,
2023,7-Sep,Hemiptera,Reduviidae,4,9,10,,JA,1,1,,
2023,20-Sep,Hemiptera,Reduviidae,5,10,0,,JA,0,1,,
2023,6-Sep,Araneae,Salticidae,1,10,0,,JA,0,1,,
2023,6-Sep,Araneae,Salticidae,2,10,0,,JA,0,1,,
2023,20-Sep,Araneae,Salticidae,3,10,0,,JA,0,1,,
2023,20-Sep,Araneae,Salticidae,4,10,0,,JA,1,1,,
2023,31-Aug,Orthoptera,Tettigoniidae,7,10,0,,JA,0,1,,
2023,20-Sep,Orthoptera,Tettigoniidae,3,0,100,,JA,0,1,,
2023,20-Sep,Orthoptera,Tettigoniidae,4,0,100,,JA,0,1,,
2023,20-Sep,Orthoptera,Tettigoniidae,6,0,100,,JA,0,1,,
2023,20-Sep,Orthoptera,Tettigoniidae,5,0,100,,JA,0,1,,
