YEAR	SITE	SITE_YR	PLOT_GL	Block	PLOT	GENO	ECOTYPE	TIME_SET	ADJ_FULL_JD	BIOMASS_AVG_Mg_ha	DLY7_PRCP_Totals	DLY7_TMAX_Avg	DLY7_TMIN_Avg	DLY7_Pen_PET	DLY14_PRCP_Totals	DLY14_TMAX_Avg	DLY14_TMIN_Avg	DLY14_Pen_PET	DLY30_PRCP_Totals	DLY30_TMAX_Avg	DLY30_TMIN_Avg	DLY30_Pen_PET	DLY60_PRCP_Totals	DLY60_TMAX_Avg	DLY60_TMIN_Avg	DLY60_Pen_PET	DLY90_PRCP_Totals	DLY90_TMAX_Avg	DLY90_TMIN_Avg	DLY90_Pen_PET	DLY120_PRCP_Totals	DLY120_TMAX_Avg	DLY120_TMIN_Avg	DLY120_Pen_PET	DLY150_PRCP_Totals	DLY150_TMAX_Avg	DLY150_TMIN_Avg	DLY150_Pen_PET	DLY180_PRCP_Totals	DLY180_TMAX_Avg	DLY180_TMIN_Avg	DLY180_Pen_PET	DLY210_PRCP_Totals	DLY210_TMAX_Avg	DLY210_TMIN_Avg	DLY210_Pen_PET	DLY240_PRCP_Totals	DLY240_TMAX_Avg	DLY240_TMIN_Avg	DLY240_Pen_PET	DLY270_PRCP_Totals	DLY270_TMAX_Avg	DLY270_TMIN_Avg	DLY270_Pen_PET	DLY365_PRCP_Totals	DLY365_TMAX_Avg	DLY365_TMIN_Avg	DLY365_Pen_PET
Y2017	IL	IL_17	IL.1A	IL.1	1A	Liberty	Hybrids	Harvest	IL117329	9.683350539	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.1B	IL.1	1B	Carthage	Hybrids	Harvest	IL117329	11.66242339	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.1C	IL.1	1C	Kanlow	Lowlands	Harvest	IL117329	14.94592144	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.1D	IL.1	1D	Blackwell	Uplands	Harvest	IL117329	10.78101476	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.1E	IL.1	1E	Alamo	Lowlands	Harvest	IL117329	13.3876417	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.1F	IL.1	1F	CIR	Uplands	Harvest	IL117329	12.08028887	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.2A	IL.2	2A	Alamo	Lowlands	Harvest	IL117329	11.17972314	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.2B	IL.2	2B	Kanlow	Lowlands	Harvest	IL117329	14.20709414	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.2C	IL.2	2C	Carthage	Hybrids	Harvest	IL117329	12.8779687	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.2D	IL.2	2D	CIR	Uplands	Harvest	IL117329	10.58534882	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
