Plot,Transect,Sampling Date,SPP6,Number,MeanWeight,TotWeight
PFCA 1,2,2019-06-13,CERSPP,34,0.1108952380952381,3.7704380952380956
PFCA 1,2,2019-06-13,ALOCAR,3,0.2228,0.6684
PFCA 1,2,2019-06-13,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 1,2,2019-06-13,DICLAN,1,0.2403836666666667,0.2403836666666667
PFCA 1,4,2019-06-13,GALAPA,2,6.945674972,13.891349944
PFCA 1,4,2019-06-13,GERCAR,2,2.60016,5.20032
PFCA 1,4,2019-06-13,CERSPP,15,0.1108952380952381,1.6634285714285715
PFCA 1,4,2019-06-13,MYOVER,36,0.3651714285714286,13.14617142857143
PFCA 1,4,2019-06-13,PLAVIR,10,0.3989142857142857,3.9891428571428573
PFCA 1,3,2019-06-13,PLAVIR,11,0.3989142857142857,4.388057142857143
PFCA 1,3,2019-06-13,TRIPER,24,0.031640600000000005,0.7593744000000001
PFCA 1,3,2019-06-13,VEROSP,30,0.102,3.0599999999999996
PFCA 1,3,2019-06-13,GERCAR,2,2.60016,5.20032
PFCA 1,3,2019-06-13,MYOVER,1,0.3651714285714286,0.3651714285714286
PFCA 1,3,2019-06-13,LEPVIR,1,0.4684666666666667,0.4684666666666667
PFCA 1,5,2019-06-13,GERCAR,7,2.60016,18.20112
PFCA 1,5,2019-06-13,MYOVER,4,0.3651714285714286,1.4606857142857144
PFCA 1,5,2019-06-13,VEROSP,1,0.102,0.102
PFCA 1,5,2019-06-13,PLAOCC,1,3.317733333333333,3.317733333333333
PFCA 1,1,2019-06-13,PLAVIR,23,0.3989142857142857,9.175028571428571
PFCA 1,1,2019-06-13,THLARV,2,1.014025,2.02805
PFCA 1,1,2019-06-13,LEPVIR,1,0.4684666666666667,0.4684666666666667
PFCA 1,1,2019-06-13,CERSPP,7,0.1108952380952381,0.7762666666666667
PFCA 1,1,2019-06-13,VEROSP,2,0.102,0.204
PFCA 1,1,2019-06-13,OXADIL,1,0.1922,0.1922
PFCA 1,6,2019-06-13,MYOVER,8,0.3651714285714286,2.9213714285714287
PFCA 1,6,2019-06-13,PLAVIR,3,0.3989142857142857,1.196742857142857
PFCA 1,6,2019-06-13,CAPBUR,5,0.09559444444444444,0.4779722222222222
PFCA 1,6,2019-06-13,VEROSP,38,0.102,3.876
PFCA 1,7,2019-06-13,SPHOBT,4,0.3955190476190476,1.5820761904761904
PFCA 1,7,2019-06-13,VEROSP,5,0.102,0.51
PFCA 1,7,2019-06-13,CERSPP,1,0.1108952380952381,0.1108952380952381
PFCA 1,7,2019-06-13,OXADIL,1,0.1922,0.1922
PFCA 1,8,2019-06-13,MYOVER,10,0.3651714285714286,3.651714285714286
PFCA 1,8,2019-06-13,VEROSP,4,0.102,0.408
PFCA 1,8,2019-06-13,SPHOBT,1,0.3955190476190476,0.3955190476190476
PFCA 1,8,2019-06-13,JUNSPP,233,0.008396666666666667,1.9564233333333334
PFCA 1,8,2019-06-13,MELSPP,1,2.322282,2.322282
PFCA 1,9,2019-06-13,MYOVER,3,0.3651714285714286,1.0955142857142857
PFCA 1,9,2019-06-13,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 1,9,2019-06-13,SPHOBT,2,0.3955190476190476,0.7910380952380952
PFCA 1,9,2019-06-13,VEROSP,19,0.102,1.938
PFCA 1,9,2019-06-13,CERSPP,85,0.1108952380952381,9.426095238095238
PFCA 1,10,2019-06-13,SPHOBT,7,0.3955190476190476,2.7686333333333333
PFCA 1,10,2019-06-13,CERSPP,7,0.1108952380952381,0.7762666666666667
PFCA 1,10,2019-06-13,MYOVER,2,0.3651714285714286,0.7303428571428572
PFCA 1,10,2019-06-13,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 1,10,2019-06-13,VEROSP,3,0.102,0.306
PFCA 1,9,2019-06-13,POAPRA,1,0.2459279172857143,0.2459279172857143
PFCA 2,10,2019-06-13,SPHOBT,7,0.3955190476190476,2.7686333333333333
PFCA 2,10,2019-06-13,GALAPA,1,6.945674972,6.945674972
PFCA 2,10,2019-06-13,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 2,10,2019-06-13,POAPRA,1,0.2459279172857143,0.2459279172857143
PFCA 2,10,2019-06-13,CERSPP,1,0.1108952380952381,0.1108952380952381
PFCA 2,10,2019-06-13,UNKFRB1,1,,
PFCA 2,6,2019-06-13,SPHOBT,64,0.3955190476190476,25.313219047619047
PFCA 2,6,2019-06-13,HORPUS,1,3.1664000000000003,3.1664000000000003
PFCA 2,6,2019-06-13,POAPRA,4,0.2459279172857143,0.9837116691428572
PFCA 2,6,2019-06-13,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 2,8,2019-06-13,JUNSPP,1,0.008396666666666667,0.008396666666666667
PFCA 2,8,2019-06-13,SPHOBT,40,0.3955190476190476,15.820761904761904
PFCA 2,8,2019-06-13,CERSPP,3,0.1108952380952381,0.3326857142857143
PFCA 2,8,2019-06-13,GERCAR,1,2.60016,2.60016
PFCA 2,8,2019-06-13,PLAVIR,2,0.3989142857142857,0.7978285714285714
PFCA 2,7,2019-06-13,SPHOBT,367,0.3955190476190476,145.15549047619047
PFCA 2,7,2019-06-13,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 2,2,2019-06-13,SPHOBT,4,0.3955190476190476,1.5820761904761904
PFCA 2,2,2019-06-13,PLAVIR,2,0.3989142857142857,0.7978285714285714
PFCA 2,2,2019-06-13,CARBUS,1,2.4875442857142858,2.4875442857142858
PFCA 2,4,2019-06-13,SPHOBT,22,0.3955190476190476,8.701419047619048
PFCA 2,4,2019-06-13,CERSPP,1,0.1108952380952381,0.1108952380952381
PFCA 2,4,2019-06-13,HORPUS,1,3.1664000000000003,3.1664000000000003
PFCA 2,5,2019-06-13,SPHOBT,62,0.3955190476190476,24.52218095238095
PFCA 2,5,2019-06-13,PLAVIR,2,0.3989142857142857,0.7978285714285714
PFCA 2,5,2019-06-13,CORLAN,1,1.3795757576666672,1.3795757576666672
PFCA 2,3,2019-06-13,CERSPP,4,0.1108952380952381,0.4435809523809524
PFCA 2,3,2019-06-13,JUNSPP,10,0.008396666666666667,0.08396666666666666
PFCA 2,3,2019-06-13,HORPUS,1,3.1664000000000003,3.1664000000000003
PFCA 2,3,2019-06-13,PLAVIR,27,0.3989142857142857,10.770685714285715
PFCA 2,3,2019-06-13,MYOVER,2,0.3651714285714286,0.7303428571428572
PFCA 2,3,2019-06-13,SPHOBT,279,0.3955190476190476,110.34981428571429
PFCA 2,3,2019-06-13,GERCAR,1,2.60016,2.60016
PFCA 2,3,2019-06-13,VEROSP,5,0.102,0.51
PFCA 2,1,2019-06-13,SPHOBT,34,0.3955190476190476,13.447647619047618
PFCA 2,1,2019-06-13,MYOVER,2,0.3651714285714286,0.7303428571428572
PFCA 2,1,2019-06-13,CORLAN,142,1.3795757576666672,195.89975758866674
PFCA 2,9,2019-06-13,SPHOBT,280,0.3955190476190476,110.74533333333333
PFCA 2,9,2019-06-13,PLAVIR,6,0.3989142857142857,2.393485714285714
PFCA 2,9,2019-06-13,RATPIN,2,0.8603238096666666,1.720647619333333
PFCA 2,5,2019-06-13,JUNSPP,16,0.008396666666666667,0.13434666666666667
PFCA 3,8,2019-06-13,PLAVIR,2,0.3989142857142857,0.7978285714285714
PFCA 3,8,2019-06-13,ALOCAR,1,0.2228,0.2228
PFCA 3,8,2019-06-13,AGRHYE,468,0.04116984126984127,19.267485714285716
PFCA 3,8,2019-06-13,SPHOBT,1,0.3955190476190476,0.3955190476190476
PFCA 3,8,2019-06-13,VEROSP,1,0.102,0.102
PFCA 3,8,2019-06-13,CARFES,1,0.8268,0.8268
PFCA 3,3,2019-06-13,SPHOBT,4,0.3955190476190476,1.5820761904761904
PFCA 3,3,2019-06-13,TRAOHI,2,3.368574523809524,6.737149047619048
PFCA 3,3,2019-06-13,CARBUS,2,2.4875442857142858,4.9750885714285715
PFCA 3,3,2019-06-13,CARFES,2,0.8268,1.6536
PFCA 3,9,2019-06-13,SPHOBT,44,0.3955190476190476,17.402838095238096
PFCA 3,9,2019-06-13,AGRHYE,269,0.04116984126984127,11.074687301587302
PFCA 3,6,2019-06-13,SPHOBT,57,0.3955190476190476,22.544585714285713
PFCA 3,6,2019-06-13,ERYYUC,1,3.903582083333333,3.903582083333333
PFCA 3,6,2019-06-13,ALOCAR,1,0.2228,0.2228
PFCA 3,5,2019-06-13,AGRHYE,51,0.04116984126984127,2.0996619047619047
PFCA 3,5,2019-06-13,ALOCAR,8,0.2228,1.7824
PFCA 3,2,2019-06-13,SPHOBT,38,0.3955190476190476,15.029723809523809
PFCA 3,6,2019-06-13,AGRHYE,139,0.04116984126984127,5.722607936507937
PFCA 3,6,2019-06-13,ANAMIN,11,0.030752380952380948,0.3382761904761904
PFCA 3,6,2019-06-13,JUNSPP,39,0.008396666666666667,0.32747
PFCA 3,8,2019-06-13,JUNSPP,96,0.008396666666666667,0.80608
PFCA 3,10,2019-06-13,CARBUS,14,2.4875442857142858,34.82562
PFCA 3,10,2019-06-13,AGRHYE,18,0.04116984126984127,0.7410571428571429
PFCA 3,10,2019-06-13,POAPRA,2,0.2459279172857143,0.4918558345714286
PFCA 3,4,2019-06-13,JUNSPP,534,0.008396666666666667,4.48382
PFCA 3,4,2019-06-13,POAPRA,8,0.2459279172857143,1.9674233382857145
PFCA 3,4,2019-06-13,AGRHYE,379,0.04116984126984127,15.603369841269842
PFCA 3,4,2019-06-13,UNKBRA,1,,
PFCA 3,7,2019-06-13,CARFES,7,0.8268,5.787599999999999
PFCA 3,7,2019-06-13,SPHOBT,4,0.3955190476190476,1.5820761904761904
PFCA 3,7,2019-06-13,AGRHYE,151,0.04116984126984127,6.216646031746032
PFCA 3,7,2019-06-13,PENDIG,4,0.26892472222222236,1.0756988888888894
PFCA 3,1,2019-06-13,AGRHYE,101,0.04116984126984127,4.158153968253969
PFCA 3,1,2019-06-13,ALOCAR,2,0.2228,0.4456
PFCA 3,1,2019-06-13,SPHOBT,2,0.3955190476190476,0.7910380952380952
PFCA 3,2,2019-06-13,TRAOHI,1,3.368574523809524,3.368574523809524
PFCA 3,2,2019-06-13,ALOCAR,2,0.2228,0.4456
PFCA 3,2,2019-06-13,CAPBUR,2,0.09559444444444444,0.19118888888888888
PFCA 3,2,2019-06-13,OXADIL,1,0.1922,0.1922
TP,5,2019-06-13,SPHOBT,25,0.3955190476190476,9.88797619047619
TP,5,2019-06-13,OXADIL,1,0.1922,0.1922
TP,5,2019-06-13,AGRHYE,261,0.04116984126984127,10.745328571428573
TP,6,2019-06-13,SPHOBT,2,0.3955190476190476,0.7910380952380952
TP,6,2019-06-13,AGRHYE,1,0.04116984126984127,0.04116984126984127
TP,6,2019-06-13,PLAVIR,4,0.3989142857142857,1.5956571428571429
TP,7,2019-06-13,AGRHYE,2,0.04116984126984127,0.08233968253968255
TP,7,2019-06-13,SPHOBT,3,0.3955190476190476,1.1865571428571429
TP,7,2019-06-13,SILANT,65,0.09976,6.4844
TP,8,2019-06-13,AGRHYE,10,0.04116984126984127,0.41169841269841273
TP,9,2019-06-13,AGRHYE,1,0.04116984126984127,0.04116984126984127
TP,10,2019-06-13,AGRHYE,4,0.04116984126984127,0.1646793650793651
TP,4,2019-06-13,SPHOBT,14,0.3955190476190476,5.537266666666667
TP,4,2019-06-13,DICLAN,1,0.2403836666666667,0.2403836666666667
TP,4,2019-06-13,AGRHYE,22,0.04116984126984127,0.9057365079365081
TP,4,2019-06-13,POAPRA,9,0.2459279172857143,2.2133512555714288
TP,3,2019-06-13,SPHOBT,9,0.3955190476190476,3.5596714285714284
TP,3,2019-06-13,AGRHYE,62,0.04116984126984127,2.5525301587301588
TP,3,2019-06-13,POAPRA,10,0.2459279172857143,2.4592791728571433
TP,2,2019-06-13,AGRHYE,30,0.04116984126984127,1.2350952380952382
TP,2,2019-06-13,POAPRA,68,0.2459279172857143,16.723098375428574
TP,2,2019-06-13,OXADIL,1,0.1922,0.1922
TP,2,2019-06-13,SPHOBT,1,0.3955190476190476,0.3955190476190476
TP,2,2019-06-13,MYOVER,1,0.3651714285714286,0.3651714285714286
TP,1,2019-06-13,POAPRA,2,0.2459279172857143,0.4918558345714286
TP,1,2019-06-13,SPHOBT,65,0.3955190476190476,25.708738095238093
TP,1,2019-06-13,AGRHYE,41,0.04116984126984127,1.6879634920634923
TP,1,2019-06-13,JUNSPP,4,0.008396666666666667,0.03358666666666667
TP,7,2019-06-13,HYPHIR,1,0.3938,0.3938
TP,9,2019-06-13,SPHOBT,28,0.3955190476190476,11.074533333333333
TP,9,2019-06-13,CARFES,4,0.8268,3.3072
PFCA 1,1,2019-06-27,CERSPP,4,0.1108952380952381,0.4435809523809524
PFCA 1,1,2019-06-27,PLAVIR,15,0.3989142857142857,5.983714285714286
PFCA 1,1,2019-06-27,ERISPP,3,0.03275,0.09825
PFCA 1,1,2019-06-27,LEPVIR,3,0.4684666666666667,1.4054000000000002
PFCA 1,1,2019-06-27,THLARV,4,1.014025,4.0561
PFCA 1,1,2019-06-27,VEROSP,6,0.102,0.612
PFCA 1,2,2019-06-27,CERSPP,18,0.1108952380952381,1.996114285714286
PFCA 1,2,2019-06-27,SPHOBT,1,0.3955190476190476,0.3955190476190476
PFCA 1,2,2019-06-27,PLAVIR,3,0.3989142857142857,1.196742857142857
PFCA 1,2,2019-06-27,ERISPP,11,0.03275,0.36025
PFCA 1,2,2019-06-27,MYOVER,2,0.3651714285714286,0.7303428571428572
PFCA 1,5,2019-06-27,GERCAR,8,2.60016,20.80128
PFCA 1,5,2019-06-27,ANAMIN,1,0.030752380952380948,0.030752380952380948
PFCA 1,5,2019-06-27,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 1,5,2019-06-27,ERISPP,1,0.03275,0.03275
PFCA 1,5,2019-06-27,SETSPP,7,1.3855,9.6985
PFCA 1,3,2019-06-27,LEPVIR,6,0.4684666666666667,2.8108000000000004
