Tissue,ID,Time (d),8-THC,9-THC,THCA,THC-acid,THC-acid-glu,THC-glu,CBD,CBDA,CBDVA,CBD-7-acid,CBLA
Liver,5602,1,,3.02,55.95,,,11.64,16.2,15173.19,11.85,169.31,18.92
Liver,5638,1,,2.31,45.74,,,8.82,15.89,14169.44,8.73,45.89,
Liver,5657,1,,5.54,98.83,,1.94,18.46,41.6,8586.48,14.0,188.5,35.56
Liver,5660,1,,2.12,44.22,,,5.86,18.34,111430.34,14.44,138.8,10.5
Liver,5611,2,,2.63,22.14,,,6.94,13.51,3492.89,5.11,137.56,
Liver,5643,2,,3.12,40.44,,,5.25,16.21,10162.0,3.4,132.99,
Liver,5644,2,,,14.65,,,3.75,7.84,2350.37,,256.51,
Liver,5659,2,,4.89,26.72,,,,28.12,1502.7,3.32,375.05,9.37
Liver,172,3,,,7.71,,,,1.79,534.58,,101.75,2.12
Liver,5603,3,,,11.67,,5.51,2.57,1.71,1143.32,,129.09,
Liver,5623,3,,,,,,,0.0,8.81,,50.17,
Liver,5651,3,,,10.92,,8.47,2.08,3.51,2177.6,,91.55,2.98
Liver,5619,5,,1.63,12.56,,,3.43,6.89,4391.56,2.47,148.53,
Liver,5621,5,,,2.1,,,,0.0,9.46,,291.84,
Liver,5649,5,,,4.78,,2.58,,2.38,75.95,,40.77,1.3
Liver,16392,5,,,1.51,,,,0.0,48.23,,31.49,
Liver,5604,8,,,0.48,,,,0.0,3.43,,34.72,
Liver,5615,8,,,1.46,,,,1.48,32.77,,71.98,
Liver,5625,8,,,,,,,0.0,3.98,,52.02,
Liver,5640,8,,,,,9.1,,0.0,4.95,,38.81,
Muscle,5602,1,,,,1.19,,,0.0,5.67,,14.13,
Muscle,5638,1,,,,1.3,,,2.22,35.75,,11.15,
Muscle,5657,1,,,,1.92,,,2.09,19.86,,16.4,
Muscle,5660,1,,,,1.53,,,1.35,13.89,,16.3,
Muscle,5611,2,,,,,,,2.0,1.85,,13.72,
Muscle,5643,2,,,,6.67,,,2.02,7.2,,28.25,
Muscle,5644,2,,,,5.18,,,3.1,12.45,,45.69,
Muscle,5659,2,,,,3.02,,,1.33,10.36,,15.18,
Muscle,172,3,,,,2.46,,,0.0,0.0,,22.32,
Muscle,5603,3,,,,1.61,,,0.0,0.0,,14.15,
Muscle,5623,3,,,,3.74,,,3.22,2.66,,31.56,
Muscle,5651,3,,,,3.82,,,2.86,9.21,,17.12,
Muscle,5619,5,,,,2.29,,,0.0,0.0,,14.15,
Muscle,5621,5,,,,5.57,,,0.0,0.0,,24.74,
Muscle,5649,5,,,,,,,0.0,0.0,,7.68,
Muscle,16392,5,,,,,,,0.0,0.0,,9.26,
Muscle,5604,8,,,,1.4,,,0.0,1.38,,6.44,
Muscle,5615,8,,,,,,,0.0,0.0,,7.99,
Muscle,5625,8,,,,2.15,,,0.0,0.0,,12.73,
Muscle,5640,8,,,,,,,7.0,0.0,,8.12,
Kidney,5602,1,5.22,8.42,5.25,32.07,,,12.35,8.25,,,
Kidney,5638,1,3.82,4.74,6.76,,,,3.95,12.39,,,
Kidney,5657,1,5.33,7.99,10.74,28.42,,,9.65,16.9,,,
Kidney,5660,1,6.01,9.45,8.46,22.81,,,11.12,4.69,,,
Kidney,5611,2,3.9,4.13,4.0,24.04,,,4.23,6.21,,,
Kidney,5643,2,7.01,14.79,6.67,27.73,,,24.99,5.1,,,
Kidney,5644,2,2.51,4.02,2.99,43.22,,,6.03,4.53,,,
Kidney,5659,2,,5.16,3.88,19.22,,,10.95,9.34,,,
Kidney,172,3,,1.23,,17.82,,,1.82,,,,
Kidney,5603,3,,7.89,1.26,15.11,,,13.9,2.28,,,
Kidney,5623,3,4.2,7.96,1.52,35.04,,,14.0,4.39,,,
Kidney,5651,3,1.19,1.6,1.66,14.96,,,2.12,,,,
Kidney,5619,5,,1.08,,,,,2.45,,,,
Kidney,5621,5,,,,20.72,,,0.0,,,,
Kidney,5649,5,,1.55,,,,,3.06,,,,
Kidney,16392,5,,,,,,,1.85,,,,
Kidney,5604,8,,,,,,,,1.65,,,
Kidney,5615,8,,2.04,,,,,3.28,,,,
Kidney,5625,8,,2.41,,,,,4.7,,,,
Kidney,5640,8,,2.31,,,,,4.6,,,,
Adipose,5602,1,,47.38,,,,,193.59,10.86,,39.18,1.04
Adipose,5638,1,,52.59,,,,,250.5,23.54,,28.59,
Adipose,5657,1,,50.55,,,,,280.69,67.19,,142.78,
Adipose,5660,1,,36.51,,,,,168.69,30.51,,106.99,0.49
Adipose,5611,2,,43.7,,,,,202.38,,,33.44,
Adipose,5643,2,,63.38,,,,,277.49,11.51,,80.1,
Adipose,5644,2,,72.84,,,,,355.68,,,88.51,
Adipose,5659,2,,56.42,,,,,312.8,36.01,,259.69,
Adipose,172,3,,42.89,,,,,194.61,,,116.55,
Adipose,5603,3,,38.28,,,,,149.27,,,65.44,
Adipose,5623,3,,56.24,,,,,305.7,,,114.76,
Adipose,5651,3,,37.76,,,,,165.07,,,123.48,
Adipose,5619,5,,39.21,,,,,196.8,,,88.18,
Adipose,5621,5,,55.02,,,,,346.44,,,45.25,
Adipose,5649,5,,37.13,,,,,175.6,,,66.38,
Adipose,16392,5,,43.62,,,,,256.46,,,15.12,
Adipose,5604,8,,23.45,,,,,97.24,,,49.98,
Adipose,5615,8,,38.24,,,,,142.08,,,28.34,
Adipose,5625,8,,13.58,,,,,65.01,,,108.14,
Adipose,5640,8,,36.97,,,,,267.11,,,32.15,
