Block,Position,Species,Treatment,Visual Cues in Block,Total Distance,Velocity,Frequency Treatment Stimulus Zone,Time Spent Treatment Stimulus Zone,Latency Treatment Stimulus Zone,Frequency Control Stimulus Zone,Time Spent Control Stimulus Zone,Latency Control Stimulus Zone,Frequency Treatment Half,Time Spent Treatment Half,Latency Treatment Half,Frequency Control Half,Time Spent Control Half,Latency Control Half
Trial    55,Arena 2,LGB,Control,No,0,0,0,0,600,0,0,600,1,600.061,0,0,0,600
Trial    57,Arena 6,LGB,Olfactory,No,0,0,0,0,600,0,0,600,1,600.061,0,0,0,600
Trial    57,Arena 4,LGB,Control,No,1.5032,0.00250717,1,84.6658,462.895,0,0,600,1,398.896,201.165,1,201.165,0
Trial    57,Arena 3,LGB,Olfactory,No,2.03557,0.0033951,0,0,600,0,0,600,1,600.061,0,0,0,600
Trial    55,Arena 3,LGB,Olfactory,No,10.1677,0.0169585,0,0,600,0,0,600,1,600.061,0,0,0,600
Trial    55,Arena 6,LGB,Control,No,11.8286,0.0201511,0,0,600,0,0,600,20,399.163,12.8665,3,197.931,0
Trial    57,Arena 5,LGB,Control,No,13.785,0.0229919,0,0,600,0,0,600,2,398.696,0,1,201.365,263.531
Trial    57,Arena 2,LGB,Control,No,17.953,0.0302412,0,0,600,0,0,600,6,587.427,0,1,9.49991,590.561
Trial    59,Arena 4,LGB,Olfactory,No,19.1217,0.0331115,0,0,600,0,0,600,1,47.0329,0,31,538.461,47.0329
Trial    59,Arena 2,LGB,Control,No,23.1194,0.0385606,3,62.7994,394.729,0,0,600,2,541.328,0,1,58.7327,109.632
Trial    53,Arena 4,LGB,Control,No,37.0255,0.0628373,0,0,600,0,0,600,15,171.232,12.3665,4,426.162,0
Trial    55,Arena 4,LGB,Control,No,54.2253,0.0912636,0,0,600,0,0,600,2,169.532,42.9329,4,425.696,0
Trial    59,Arena 5,LGB,Olfactory,No,59.0403,0.0985165,0,0,600,0,0,600,6,441.662,2.36664,5,158.365,0
Trial    55,Arena 1,LGB,Olfactory,No,60.1144,0.100476,1,5.93327,348.73,1,12.1332,147.032,5,297.997,62.1994,5,301.63,0
Trial    53,Arena 3,LGB,Olfactory,No,90.5007,0.151374,0,0,600,3,23.3998,125.099,6,316.697,1.46665,9,283.297,0
Trial    59,Arena 3,LGB,Control,No,94.5097,0.157632,1,12.2999,269.464,2,15.6665,138.965,7,208.831,0,6,384.796,99.5657
Trial    53,Arena 5,LGB,Olfactory,No,96.8593,0.165781,2,5.99994,225.698,1,0.133332,26.3664,10,338.33,22.1331,13,256.131,0.699993
Trial    53,Arena 1,LGB,Olfactory,No,101.257,0.169413,0,0,600,1,1.46665,1.19999,5,336.197,39.9329,4,262.297,0
Trial    53,Arena 6,LGB,Control,No,104.022,0.175585,11,592.927,0,2,1.73332,27.0997,6,447.962,9.06658,7,149.365,0
Trial    59,Arena 1,LGB,Olfactory,No,108.03,0.181149,2,16.2998,33.6663,1,9.73324,455.762,7,421.696,0,5,177.932,262.564
Trial    59,Arena 6,LGB,Control,No,115.6,0.199427,1,1.56665,109.666,0,0,600,8,195.565,7.0666,12,385.696,0
Trial    53,Arena 2,LGB,Control,No,128.542,0.217145,1,1.19999,424.896,1,3.69996,234.498,15,405.463,21.0665,7,193.398,0
Trial    55,Arena 5,LGB,Olfactory,No,113.66,0.20968,0,0,600,0,0,600,505,519.395,0,479,27.8997,76.4992
Trial    61,Arena 2,LGB,Visual,Yes,0.502822,0.000838651,0,0,600,0,0,600,1,345.63,254.431,1,254.431,0
Trial    65,Arena 2,LGB,Combination,Yes,0.512587,0.00088556,0,0,600,0,0,600,3,580.694,0,0,0,600
Trial    56,Arena 1,LGB,Control,Yes,1.5186,0.00268006,0,0,600,0,0,600,1,88.8991,0,3,478.762,88.8991
