LEVEL,AGE,total mass (g),N mass (g)
LOW,7,0.0006,2.2338e-05
LOW,8,0.0013,1.1362e-05
LOW,9,0.0085,0.00037162
LOW,10,0.001,2.682e-05
LOW,11,0.001,2.571e-05
LOW,12,0.0019,6.916e-05
LOW,13,0.0017,4.437e-05
LOW,14,0.0027,8.0217e-05
LOW,16,0.0008,2.4376e-05
LOW,18,0.0014,2.9708e-05
LOW,20,0.0036,7.398e-05
LOW,22,0.004,0.0001136
LOW,26,0.0019,8.1985e-05
LOW,28,0.0018,5.9436e-05
LOW,34,0.011399999,0.00042066
LOW,37,0.0109,0.000448208
LOW,40,0.0223,0.001119014
LOW,46,0.014200001,0.00061131
LOW,49,0.0069,0.000345
LOW,53,0.075099996,0.003423809
MEDIUM,7,0.0105,0.000203805
MEDIUM,8,0.0014,1.0514e-05
MEDIUM,9,0.0015,7.3095e-05
MEDIUM,10,0.0022,7.2534e-05
MEDIUM,11,0.0022,8.7692e-05
MEDIUM,12,0.0052,0.000116428
MEDIUM,13,0.0028,6.1852e-05
MEDIUM,14,0.0036,6.7572e-05
MEDIUM,16,0.0025,5.63e-05
MEDIUM,18,0.0052,8.0444e-05
MEDIUM,20,0.00298,4.10644e-05
MEDIUM,22,0.0044,0.000145024
MEDIUM,24,0.0085,0.000273275
MEDIUM,26,0.0117,0.000459693
MEDIUM,28,0.0099,0.000280368
MEDIUM,31,0.050900001,0.001910786
MEDIUM,34,0.032599999,0.000938228
MEDIUM,37,0.041400001,0.001819944
MEDIUM,40,0.060299999,0.002718324
MEDIUM,43,0.161900001,0.00681599
MEDIUM,46,0.417399999,0.020127028
MEDIUM,49,0.157499993,0.005274675
HIGH,7,0.0007,1.6023e-05
HIGH,8,0.001,2.147e-05
HIGH,9,0.0016,4.9808e-05
HIGH,10,0.0014,2.5956e-05
HIGH,11,0.0013,3.5373e-05
HIGH,12,0.0014,3.8738e-05
HIGH,13,0.0063,0.000188748
HIGH,14,0.0022,4.279e-05
HIGH,16,0.0094,0.00027542
HIGH,18,0.0083,0.000265766
HIGH,20,0.014300001,0.000259831
HIGH,22,0.0094,0.000314524
HIGH,24,0.013299999,0.00049875
HIGH,26,0.0143,0.000599599
HIGH,28,0.0179,0.000439266
HIGH,31,0.0328,0.000788184
HIGH,34,0.0706,0.002367924
HIGH,37,0.133100001,0.005840428
HIGH,40,0.181699995,0.008027506
HIGH,43,0.151700002,0.005488506
HIGH,46,0.464299999,0.020099547
HIGH,49,1.608199998,0.068927455
