GEN,REP,BLOCK,ENV,site,Elevation_M,Soil_pH,Soil_Na,Avg_temp,Cum_precip,PROTEIN_g/kg,OIL_g/kg,Country_of_Origin,Soil_Type
BIMHA,1,5,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,319.3,236.8,Zimbabwe,Chromic Luvisols
BIMHA,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,370.9,219.3,Zimbabwe,Chromic Luvisols
KALEYA,1,4,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,396.3,213.9,Zambia,Chromic Luvisols
KALEYA,2,6,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,378.6,219.3,Zambia,Chromic Luvisols
LUKANGA,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,364.8,219.5,Zambia,Chromic Luvisols
LUKANGA,2,8,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,372.8,215.4,Zambia,Chromic Luvisols
MAKWACHA,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,372.0,191.5,Malawi,Chromic Luvisols
MAKWACHA,2,8,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,378.7,191.6,Malawi,Chromic Luvisols
MHOFU,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,338.3,229.1,Zimbabwe,Chromic Luvisols
MHOFU,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,377.1,217.7,Zimbabwe,Chromic Luvisols
NASOKO,1,5,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,392.2,182.5,Malawi,Chromic Luvisols
NASOKO,2,8,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,379.3,197.5,Malawi,Chromic Luvisols
SC_EXPT1,1,1,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,374.8,209.6,Zimbabwe,Chromic Luvisols
SC_EXPT1,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,367.4,208.0,Zimbabwe,Chromic Luvisols
SC_EXPT2,1,1,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,404.1,214.3,Zimbabwe,Chromic Luvisols
SC_EXPT2,2,7,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,412.2,208.3,Zimbabwe,Chromic Luvisols
SC_EXPT3,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,384.7,205.9,Zimbabwe,Chromic Luvisols
SC_EXPT3,2,7,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,382.8,209.5,Zimbabwe,Chromic Luvisols
SC_SAGA,1,2,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,324.3,232.6,Zimbabwe,Chromic Luvisols
SC_SAGA,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,,,Zimbabwe,Chromic Luvisols
SC_SIGNAL,1,2,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,310.5,213.3,Zimbabwe,Chromic Luvisols
SC_SIGNAL,2,8,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,368.5,201.3,Zimbabwe,Chromic Luvisols
SC_SL01,1,4,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,371.0,218.0,Zimbabwe,Chromic Luvisols
SC_SL01,2,7,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,377.8,215.5,Zimbabwe,Chromic Luvisols
SC_SPIKE,1,5,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,357.4,216.2,Zimbabwe,Chromic Luvisols
SC_SPIKE,2,9,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,369.3,207.3,Zimbabwe,Chromic Luvisols
TGX_1987-62F,1,1,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,,,Nigeria,Chromic Luvisols
TGX_1987-62F,2,6,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,387.8,192.9,Nigeria,Chromic Luvisols
TGX_2002-9FM,1,3,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,320.8,245.4,Zambia,Chromic Luvisols
TGX_2002-9FM,2,6,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,324.7,240.0,Zambia,Chromic Luvisols
TGX_2014-16FM,1,2,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,344.8,223.5,Zambia,Chromic Luvisols
TGX_2014-16FM,2,10,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,373.3,213.4,Zambia,Chromic Luvisols
TIKOLORE,1,4,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,392.5,184.7,Malawi,Chromic Luvisols
TIKOLORE,2,10,ENV1,CBI-Site 4,421,8.3,156,23.3,64.1,,,Malawi,Chromic Luvisols
BIMHA,1,1,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,391.0,207.1,Zimbabwe,Ferric Luvisols
BIMHA,2,7,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,395.5,202.9,Zimbabwe,Ferric Luvisols
KALEYA,1,2,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,427.4,211.4,Zambia,Ferric Luvisols
KALEYA,2,10,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,405.4,217.9,Zambia,Ferric Luvisols
LUKANGA,1,2,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,,,Zambia,Ferric Luvisols
LUKANGA,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,367.6,217.8,Zambia,Ferric Luvisols
MAKWACHA,1,1,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,407.7,180.5,Malawi,Ferric Luvisols
MAKWACHA,2,10,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,392.0,195.6,Malawi,Ferric Luvisols
MHOFU,1,1,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,395.0,208.4,Zimbabwe,Ferric Luvisols
MHOFU,2,6,ENV2,CBI-Site 5,962,6.5,26,19.8,231.0,408.6,202.6,Zimbabwe,Ferric Luvisols
